********************************************************************************
File created by the application RiderData for Android.
Creation date: 27/09/2024 15:05:26 WET
Developed by: Pedro Duarte
Version 2.1 September 2024
The RiderData application stores data from various sensors available on the smartphone, namely accelerometer, gyroscope, AHRS, and GPS. In addition, it records a video from the rear camera view of the phone.
Smartphone used:
Manufacturer - samsung
Model - SM-G781B
SDK Version - 36
Android Release - 16
***********************************************************************************************
CSV columns:
Sensor - Indicates which sensor collected the data;
Timestamp - Represents the moment (in milliseconds) when the data was collected;
Value_X - Represents X-axis values for accelerometer and gyroscope, represents pitch for AHRS, and latitude for GPS;
Value_Y - Represents Y-axis values for accelerometer and gyroscope, represents roll for AHRS, and longitude for GPS;
Value_Z - Represents Z-axis values for accelerometer and gyroscope, represents yaw for AHRS, and speed for GPS;

Sensor Description:
ACEL - Accelerometer;
GYRO - Gyroscope;
AHRS - Attitude and Heading Reference System;
GPS - Global Positioning System
***********************************************************************************************
Frequency Sampling:
Accelerometer - 403 Hz;
Gyroscope - 403 Hz;
AHRS - 201 Hz;
GPS - 1Hz;

Units of Measurement:
Accelerometer - acceleration in m/s^2;
Gyroscope - angular velocity in rad/s;
AHRS - degrees (all parameters);
GPS - minutes and seconds (Value_X and Value_Y), and km/h (Value_Z);
***********************************************************************************************
COLLECTED DATA
Sensor, Timestamp, Valor_X, Valor_Y, Valor_Z
ACEL,1727445926489,1.6710875,-0.15314065,9.147761
AHRS,1727445926489,1.3053275,-14.430147,-72.70263
GYRO,1727445926490,-0.010002624,0.07841752,-0.10323319
ACEL,1727445926491,1.6160526,-0.148355,9.102298
GYRO,1727445926492,-0.01733279,0.039323293,-0.09162709
ACEL,1727445926493,1.5801603,-0.15553348,9.064013
AHRS,1727445926493,1.2908369,-14.309234,-72.641525
GYRO,1727445926494,-0.024662958,0.0026724567,-0.076966755
ACEL,1727445926495,1.5490535,-0.15553348,9.037691
GYRO,1727445926496,-0.031382278,-0.035200074,-0.064138964
ACEL,1727445926497,1.5227325,-0.16749759,9.0233345
AHRS,1727445926498,1.2807744,-14.200238,-72.792534
GYRO,1727445926499,-0.039323293,-0.073072605,-0.04703524
ACEL,1727445926500,1.474876,-0.19860429,9.018549
GYRO,1727445926501,-0.049707696,-0.110945135,-0.029320668
ACEL,1727445926502,1.4461622,-0.21774685,9.020942
AHRS,1727445926503,1.2756282,-14.105387,-72.73634
GYRO,1727445926504,-0.058259558,-0.14820682,-0.012216945
ACEL,1727445926504,1.434198,-0.23688944,9.040084
GYRO,1727445926505,-0.065589726,-0.1866902,0.00671932
ACEL,1727445926506,1.4126626,-0.25124636,9.064013
AHRS,1727445926507,1.2790314,-14.029039,-72.75846
GYRO,1727445926508,-0.07108735,-0.22761697,0.026266431
ACEL,1727445926509,1.3884354,-0.25842485,9.092726
GYRO,1727445926509,-0.07902836,-0.2642678,0.043981
ACEL,1727445926510,1.3836497,-0.27038896,9.126225
AHRS,1727445926511,1.2962363,-13.967559,-72.72377
GYRO,1727445926512,-0.0820826,-0.30763796,0.06291727
ACEL,1727445926513,1.3812568,-0.25124636,9.186047
GYRO,1727445926514,-0.07963921,-0.35100812,0.08063184
ACEL,1727445926515,1.378864,-0.2440679,9.250652
AHRS,1727445926515,1.3240104,-13.925395,-72.55617
GYRO,1727445926516,-0.07902836,-0.39682165,0.09773556
ACEL,1727445926517,1.4126626,-0.22013968,9.337093
ACEL,1727445926518,1.4126626,-0.19621146,9.432806
GYRO,1727445926519,-0.07108735,-0.45057622,0.11545013
AHRS,1727445926520,1.3576981,-13.902789,-72.5444
